,Title,Rate,Processeur,Windows Version,Carte Graphique,RAM,Disque Dur,Ecran,Poids,Price
0,Nouveau XPS 13,4.4,Processeur Intel® Core™ i7-1065G7 de 10e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Plus,"8 Go de mémoire LPDDR4x, 3 773 MHz, intégrée",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i7-1065G7 de 10e génération,Windows 10 Famille 64 bits,"1 099,04 "
1,XPS 13,4.1,Processeur Intel® Core™ i3-10110U de 10e génération,Windows 10 Professionnel 64 bits,Carte graphique Intel® UHD avec mémoire graphique partagée,8 Go de mémoire LPDDR3 intégrée à 2 133 MHz,Disque SSD M.2 PCIe NVMe de 256 Go,Processeur Intel® Core™ i3-10110U de 10e génération,Windows 10 Professionnel 64 bits,"698,40 "
2,Nouveau Inspiron 14 2-in-1,4.7,Processeur mobile AMD Ryzen™ 7 5700U avec carte graphique Radeon™,Windows 10 Famille 64 bits,Carte graphique AMD Radeon™ avec mémoire graphique partagée,"16 Go, 2 x 8 Go, de mémoire DDR4, 3 200 MHz",Disque SSD PCIe NVMe de 512 Go,Processeur mobile AMD Ryzen™ 7 5700U avec carte graphique Radeon™,Windows 10 Famille 64 bits,"928,80 "
3,Nouveau XPS 13,4.0,Processeur Intel® Core™ i7-1185G7 de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris Xe,16 Go de mémoire intégrée LPDDR4x à 4 267 MHz,Disque SSD M.2 PCIe NVMe de 1 To,Processeur Intel® Core™ i7-1185G7 de 11e génération,Windows 10 Famille 64 bits,"1 799,06 "
4,XPS 13 2in1,3.8,Processeur Intel® Core™ i7-1065G7 de 10e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Plus,16 Go de mémoire intégrée LPDDR4x à 3 733 MHz,Disque SSD M.2 PCIe NVMe x4 intégré de 512 Go,Processeur Intel® Core™ i7-1065G7 de 10e génération,Windows 10 Famille 64 bits,"1 249,03 "
5,Nouveau Inspiron 15 plus,3.9,Processeur Intel® Core™ i7-11800H de 11e génération,Windows 10 Famille 64 bits,"16 Go, 2 x 8 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 1 To,,Processeur Intel® Core™ i7-11800H de 11e génération,Windows 10 Famille 64 bits,"1 299,17 "
6,Nouveau XPS 13,4.4,Processeur Intel® Core™ i7-1165G7 de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris Xe,16 Go de mémoire intégrée LPDDR4x à 4 267 MHz,Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i7-1165G7 de 11e génération,Windows 10 Famille 64 bits,"1 199,09 "
7,Inspiron 17 2-in-1,4.3,Processeur Intel® Core™ i7-1165G7 de 11e génération,Windows 10 Famille 64 bits,Carte graphique NVIDIA® GeForce® MX350 avec 2 Go de mémoire GDDR5,"16 Go, 2 x 8 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i7-1165G7 de 11e génération,Windows 10 Famille 64 bits,"1 249,04 "
8,Nouveau XPS 15,4.0,Processeur Intel® Core™ i7-11800H de 11e génération,Windows 10 Famille 64 bits,Carte graphique NVIDIA® GeForce RTX™ 3050 Ti avec 4 Go de mémoire GDDR6 [45 W],"16 Go, 2 x 8 Go, de mémoire DDR4, 3 200 MHz",Disque SSD M.2 PCIe NVMe de 1 To,Processeur Intel® Core™ i7-11800H de 11e génération,Windows 10 Famille 64 bits,"1 999,22 "
9,Inspiron 15 3000,4.4,Processeur Intel®  Celeron®  N4020,Windows 10 Famille (mode S) 64 bits,Carte graphique Intel® UHD 600 avec mémoire graphique partagée,"4 Go, 1 x 4 Go, de mémoire DDR4, 2 400 MHz",Disque SSD M.2 PCIe NVMe de 128 Go,Processeur Intel®  Celeron®  N4020,Windows 10 Famille (mode S) 64 bits,"349,04 "
10,Inspiron 15 3000,4.2,Processeur Intel® Core™ i3-1115G4 de 11e génération,Windows 10 Famille (mode S) 64 bits,Carte graphique Intel® UHD avec mémoire graphique partagée,"8 Go, 1 x 8 Go de mémoire DDR4 à 2 666 MHz",Disque SSD M.2 PCIe NVMe de 256 Go,Processeur Intel® Core™ i3-1115G4 de 11e génération,Windows 10 Famille (mode S) 64 bits,"499,03 "
11,Inspiron 15 3000,4.2,Processeur Intel® Core™ i7-1165G7 de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,"8 Go, 1 x 8 Go de mémoire DDR4 à 2 666 MHz",512GB M.2 PCIe NVMe Solid State Drive,Processeur Intel® Core™ i7-1165G7 de 11e génération,Windows 10 Famille 64 bits,"759,05 "
12,Inspiron 14 2-en-1,4.2,Processeur Intel® Core™ i3-1115G4 de 11e génération,Windows 11 Famille (mode S),Carte graphique Intel® UHD avec mémoire graphique partagée,"4 Go, 1 x 4 Go de mémoire DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 256 Go,Processeur Intel® Core™ i3-1115G4 de 11e génération,Windows 11 Famille (mode S),
13,Alienware Area-51m R2 Gaming Laptop,4.4,Intel® Core™ i7-10700 de 10e génération,Windows 10 Famille 64 bits,Carte graphique NVIDIA® GeForce® RTX 2080 SUPER™ avec 8 Go de mémoire GDDR6,8 Go de mémoire DDR4 bicanale à 2 933 MHz ; jusqu‘à 64 Go,Disque SSD M.2 PCIe NVMe de 256 Go,Intel® Core™ i7-10700 de 10e génération,Windows 10 Famille 64 bits,"2 078,44 "
14,Alienware Area-51m R2 Gaming Laptop,4.4,Intel® Core™ i9-10900 de 10e génération,Windows 10 Famille 64 bits,Carte graphique NVIDIA® GeForce® RTX 2080 SUPER™ avec 8 Go de mémoire GDDR6,8 Go de mémoire DDR4 bicanale à 2 933 MHz ; jusqu‘à 64 Go,Disque SSD M.2 PCIe NVMe de 256 Go,Intel® Core™ i9-10900 de 10e génération,Windows 10 Famille 64 bits,"2 398,45 "
15,Inspiron 15,4.2,Processeur Intel® Core™ i7-1165G7 de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,"8 Go, 1 x 8 Go de mémoire, DDR4 à 3 200 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i7-1165G7 de 11e génération,Windows 10 Famille 64 bits,"779,04 "
16,Inspiron 15 3000,4.2,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® Iris® Xe avec mémoire graphique partagée,"8 Go, 1 x 8 Go de mémoire DDR4 à 2 666 MHz",Disque SSD M.2 PCIe NVMe de 256 Go,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 10 Famille 64 bits,"609,05 "
17,Inspiron 15 3000,4.1,Processeur mobile AMD Ryzen™ 5 3450U avec carte graphique Radeon™ Vega 8,Windows 10 Famille 64 bits,Carte graphique AMD Radeon™ Vega 8,"8 Go, 1 x 8 Go, de mémoire DDR4, 2 400 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur mobile AMD Ryzen™ 5 3450U avec carte graphique Radeon™ Vega 8,Windows 10 Famille 64 bits,"579,04 "
18,Nouveau Inspiron 15 3000,3.9,Processeur Intel® Core™ i3-1115G4 de 11e génération,Windows 10 Famille 64 bits,Carte graphique Intel® UHD avec mémoire graphique partagée,8 Go,Disque SSD M.2 PCIe NVMe de 512 Go,Processeur Intel® Core™ i3-1115G4 de 11e génération,Windows 10 Famille 64 bits,"609,04 "
19,Nouveau Inspiron 15 3000,4.0,Processeur mobile AMD Ryzen™ 5 3450U avec carte graphique Radeon™ Vega 8,Windows 10 Famille 64 bits,Carte graphique AMD Radeon™ Vega 8,"8 Go, 1 x 8 Go, de mémoire DDR4, 2 400 MHz",Disque SSD M.2 PCIe NVMe de 512 Go,Processeur mobile AMD Ryzen™ 5 3450U avec carte graphique Radeon™ Vega 8,Windows 10 Famille 64 bits,"599,04 "
20,Nouveau Inspiron 15 3000,4.0,Processeur mobile AMD Ryzen™ 3 3250U avec carte graphique Radeon™,Windows 10 Famille (mode S) 64 bits,Carte graphique AMD Radeon™ avec mémoire graphique partagée,"8 Go, 1 x 8 Go, de mémoire DDR4, 2 400 MHz",Disque SSD M.2 PCIe NVMe de 256 Go,Processeur mobile AMD Ryzen™ 3 3250U avec carte graphique Radeon™,Windows 10 Famille (mode S) 64 bits,"509,04 "
21,Nouveau Inspiron 15 3000,3.9,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 10 Famille 64 bits,Intel® UHD Graphics with shared graphics memory,8 Go,Disque SSD M.2 PCIe NVMe de 256 Go,Processeur Intel® Core™ i5-1135G7 de 11e génération,Windows 10 Famille 64 bits,"649,04 "
